name,address,yelp_num_stations,coordinates
Union Station,65 Front Street W,7.0,"43.653236,-79.376716"
VIA Rail Canada,65 Front Street  W,7.0,"43.653236,-79.376716"
Queen Station,171 Yonge Street,7.0,"43.653236,-79.376716"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.653236,-79.376716"
St Patrick Subway Station,449 University Avenue,7.0,"43.653236,-79.376716"
King Station,3 King Street E,7.0,"43.653236,-79.376716"
Queen Subway Station,8 Queen Street W,7.0,"43.653236,-79.376716"
Wellesley Subway Station,16 Wellesley Street E,5.0,"43.663722,-79.380288"
Dundas Station,"Toronto, ON M5B 1J3",5.0,"43.663722,-79.380288"
Bloor-Yonge Subway Station,20 Bloor Street E,5.0,"43.663722,-79.380288"
Bay Subway Station,1240 Bay Street,5.0,"43.663722,-79.380288"
Queen's Park Subway Station,129 College Street,5.0,"43.663722,-79.380288"
St Patrick Subway Station,449 University Avenue,7.0,"43.657763,-79.389165"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.657763,-79.389165"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.657763,-79.389165"
Queen Station,171 Yonge Street,7.0,"43.657763,-79.389165"
Queen's Park Subway Station,129 College Street,7.0,"43.657763,-79.389165"
King Station,3 King Street E,7.0,"43.657763,-79.389165"
Queen Subway Station,8 Queen Street W,7.0,"43.657763,-79.389165"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.656729,-79.382736"
St Patrick Subway Station,449 University Avenue,7.0,"43.656729,-79.382736"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.656729,-79.382736"
Queen Station,171 Yonge Street,7.0,"43.656729,-79.382736"
King Station,3 King Street E,7.0,"43.656729,-79.382736"
Queen's Park Subway Station,129 College Street,7.0,"43.656729,-79.382736"
Queen Subway Station,8 Queen Street W,7.0,"43.656729,-79.382736"
Spadina Subway Station,6 Spadina Road,3.0,"43.664467,-79.414783"
Bathurst Subway Station,819 Bathurst Street,3.0,"43.664467,-79.414783"
Ossington Subway Station,746 Ossington Avenue,3.0,"43.664467,-79.414783"
Museum Subway Station,75 Queen's Park,4.0,"43.675492,-79.388858"
Bloor-Yonge Subway Station,20 Bloor Street E,4.0,"43.675492,-79.388858"
Bay Subway Station,1240 Bay Street,4.0,"43.675492,-79.388858"
Summerhill Subway Station,16 Shaftesbury Ave,4.0,"43.675492,-79.388858"
Museum Subway Station,75 Queen's Park,5.0,"43.674991,-79.396273"
Bloor-Yonge Subway Station,20 Bloor Street E,5.0,"43.674991,-79.396273"
Spadina Subway Station,6 Spadina Road,5.0,"43.674991,-79.396273"
Bay Subway Station,1240 Bay Street,5.0,"43.674991,-79.396273"
Summerhill Subway Station,16 Shaftesbury Ave,5.0,"43.674991,-79.396273"
Museum Subway Station,75 Queen's Park,4.0,"43.671944,-79.387778"
Bloor-Yonge Subway Station,20 Bloor Street E,4.0,"43.671944,-79.387778"
Wellesley Subway Station,16 Wellesley Street E,4.0,"43.671944,-79.387778"
Bay Subway Station,1240 Bay Street,4.0,"43.671944,-79.387778"
Union Station,65 Front Street W,6.0,"43.646144,-79.377962"
VIA Rail Canada,65 Front Street  W,6.0,"43.646144,-79.377962"
King Station,3 King Street E,6.0,"43.646144,-79.377962"
Queen Station,171 Yonge Street,6.0,"43.646144,-79.377962"
St Patrick Subway Station,449 University Avenue,6.0,"43.646144,-79.377962"
Queen Subway Station,8 Queen Street W,6.0,"43.646144,-79.377962"
Dundas Station,"Toronto, ON M5B 1J3",5.0,"43.657266,-79.374756"
Wellesley Subway Station,16 Wellesley Street E,5.0,"43.657266,-79.374756"
Queen Station,171 Yonge Street,5.0,"43.657266,-79.374756"
King Station,3 King Street E,5.0,"43.657266,-79.374756"
Queen Subway Station,8 Queen Street W,5.0,"43.657266,-79.374756"
Greenwood Yard,400 Greenwood Avenue,1.0,"43.66745,-79.329408"
Pape Subway Station,743 Pape Avenue,2.0,"43.672453,-79.338259"
Greenwood Yard,400 Greenwood Avenue,2.0,"43.672453,-79.338259"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.655431,-79.380653"
St Patrick Subway Station,449 University Avenue,6.0,"43.655431,-79.380653"
Queen Station,171 Yonge Street,6.0,"43.655431,-79.380653"
King Station,3 King Street E,6.0,"43.655431,-79.380653"
Queen's Park Subway Station,129 College Street,6.0,"43.655431,-79.380653"
Queen Subway Station,8 Queen Street W,6.0,"43.655431,-79.380653"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.656927,-79.378497"
Wellesley Subway Station,16 Wellesley Street E,6.0,"43.656927,-79.378497"
Queen Station,171 Yonge Street,6.0,"43.656927,-79.378497"
St Patrick Subway Station,449 University Avenue,6.0,"43.656927,-79.378497"
King Station,3 King Street E,6.0,"43.656927,-79.378497"
Queen Subway Station,8 Queen Street W,6.0,"43.656927,-79.378497"
Bloor GO Station,1456 Bloor Street W,2.0,"43.661324,-79.449534"
Keele Subway Station,21 Keele Street,2.0,"43.661324,-79.449534"
Dundas Station,"Toronto, ON M5B 1J3",4.0,"43.658295,-79.372346"
Wellesley Subway Station,16 Wellesley Street E,4.0,"43.658295,-79.372346"
Queen Station,171 Yonge Street,4.0,"43.658295,-79.372346"
Queen Subway Station,8 Queen Street W,4.0,"43.658295,-79.372346"
Danforth GO,213 Main Street,1.0,"43.6940155,-79.2889842"
St Clair West Subway Station,370 St Clair Ave W,1.0,"43.6809164,-79.4229684"
Summerhill Subway Station,16 Shaftesbury Ave,1.0,"43.6910667,-79.39535"
Museum Subway Station,75 Queen's Park,4.0,"43.667158,-79.402761"
Spadina Subway Station,6 Spadina Road,4.0,"43.667158,-79.402761"
Bathurst Subway Station,819 Bathurst Street,4.0,"43.667158,-79.402761"
Queen's Park Subway Station,129 College Street,4.0,"43.667158,-79.402761"
Museum Subway Station,75 Queen's Park,5.0,"43.667333,-79.399429"
Spadina Subway Station,6 Spadina Road,5.0,"43.667333,-79.399429"
Bathurst Subway Station,819 Bathurst Street,5.0,"43.667333,-79.399429"
Bay Subway Station,1240 Bay Street,5.0,"43.667333,-79.399429"
Queen's Park Subway Station,129 College Street,5.0,"43.667333,-79.399429"
Union Station,65 Front Street W,6.0,"43.6480008,-79.383177"
VIA Rail Canada,65 Front Street  W,6.0,"43.6480008,-79.383177"
St Patrick Subway Station,449 University Avenue,6.0,"43.6480008,-79.383177"
Queen Station,171 Yonge Street,6.0,"43.6480008,-79.383177"
King Station,3 King Street E,6.0,"43.6480008,-79.383177"
Queen Subway Station,8 Queen Street W,6.0,"43.6480008,-79.383177"
St Patrick Subway Station,449 University Avenue,7.0,"43.656518,-79.389099"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.656518,-79.389099"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.656518,-79.389099"
Queen Station,171 Yonge Street,7.0,"43.656518,-79.389099"
Queen's Park Subway Station,129 College Street,7.0,"43.656518,-79.389099"
King Station,3 King Street E,7.0,"43.656518,-79.389099"
Queen Subway Station,8 Queen Street W,7.0,"43.656518,-79.389099"
Museum Subway Station,75 Queen's Park,4.0,"43.658148,-79.398167"
Spadina Subway Station,6 Spadina Road,4.0,"43.658148,-79.398167"
St Patrick Subway Station,449 University Avenue,4.0,"43.658148,-79.398167"
Queen's Park Subway Station,129 College Street,4.0,"43.658148,-79.398167"
Summerhill Subway Station,16 Shaftesbury Ave,1.0,"43.687999,-79.38906"
Union Station,65 Front Street W,2.0,"43.63796,-79.387502"
VIA Rail Canada,65 Front Street  W,2.0,"43.63796,-79.387502"
Bloor GO Station,1456 Bloor Street W,2.0,"43.6563889,-79.45166666666667"
Keele Subway Station,21 Keele Street,2.0,"43.6563889,-79.45166666666667"
Exhibition GO Station,Manitoba Drive,1.0,"43.6322445,-79.4108105"
Museum Subway Station,75 Queen's Park,5.0,"43.6616667,-79.40138888888889"
Spadina Subway Station,6 Spadina Road,5.0,"43.6616667,-79.40138888888889"
Bathurst Subway Station,819 Bathurst Street,5.0,"43.6616667,-79.40138888888889"
Queen's Park Subway Station,129 College Street,5.0,"43.6616667,-79.40138888888889"
Bay Subway Station,1240 Bay Street,5.0,"43.6616667,-79.40138888888889"
Bloor GO Station,1456 Bloor Street W,2.0,"43.657192,-79.452559"
Keele Subway Station,21 Keele Street,2.0,"43.657192,-79.452559"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.6576,-79.4032"
Queen's Park Subway Station,129 College Street,2.0,"43.6576,-79.4032"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.660694,-79.379052"
Wellesley Subway Station,16 Wellesley Street E,6.0,"43.660694,-79.379052"
St Patrick Subway Station,449 University Avenue,6.0,"43.660694,-79.379052"
Queen Station,171 Yonge Street,6.0,"43.660694,-79.379052"
Queen's Park Subway Station,129 College Street,6.0,"43.660694,-79.379052"
Queen Subway Station,8 Queen Street W,6.0,"43.660694,-79.379052"
Union Station,65 Front Street W,3.0,"43.640132,-79.380464"
VIA Rail Canada,65 Front Street  W,3.0,"43.640132,-79.380464"
King Station,3 King Street E,3.0,"43.640132,-79.380464"
Museum Subway Station,75 Queen's Park,7.0,"43.659777,-79.382767"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.659777,-79.382767"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.659777,-79.382767"
St Patrick Subway Station,449 University Avenue,7.0,"43.659777,-79.382767"
Queen Station,171 Yonge Street,7.0,"43.659777,-79.382767"
Queen's Park Subway Station,129 College Street,7.0,"43.659777,-79.382767"
Queen Subway Station,8 Queen Street W,7.0,"43.659777,-79.382767"
Union Station,65 Front Street W,5.0,"43.643667,-79.380414"
VIA Rail Canada,65 Front Street  W,5.0,"43.643667,-79.380414"
King Station,3 King Street E,5.0,"43.643667,-79.380414"
Queen Station,171 Yonge Street,5.0,"43.643667,-79.380414"
Queen Subway Station,8 Queen Street W,5.0,"43.643667,-79.380414"
Wellesley Subway Station,16 Wellesley Street E,2.0,"43.666233,-79.373327"
Dundas Station,"Toronto, ON M5B 1J3",2.0,"43.666233,-79.373327"
Exhibition GO Station,Manitoba Drive,1.0,"43.6366666666667,-79.4197222222222"
Queen's Park Subway Station,129 College Street,1.0,"43.653766,-79.4016759"
Bloor GO Station,1456 Bloor Street W,2.0,"43.6587734,-79.443054"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.6587734,-79.443054"
Bloor GO Station,1456 Bloor Street W,2.0,"43.6538888888889,-79.4413888888889"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.6538888888889,-79.4413888888889"
Bloor GO Station,1456 Bloor Street W,1.0,"43.6508333333333,-79.4430555555556"
Bloor GO Station,1456 Bloor Street W,2.0,"43.651238,-79.43868"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.651238,-79.43868"
Ossington Subway Station,746 Ossington Avenue,1.0,"43.6544915,-79.422634"
High Park Subway Station,35 Quebec Avenue,3.0,"43.6543604,-79.4655296"
Keele Subway Station,21 Keele Street,3.0,"43.6543604,-79.4655296"
Runnymede Station,265 Runnymede Road,3.0,"43.6543604,-79.4655296"
Keele Subway Station,21 Keele Street,3.0,"43.654501,-79.460053"
High Park Subway Station,35 Quebec Avenue,3.0,"43.654501,-79.460053"
Bloor GO Station,1456 Bloor Street W,3.0,"43.654501,-79.460053"
High Park Subway Station,35 Quebec Avenue,3.0,"43.6535269,-79.4650569"
Keele Subway Station,21 Keele Street,3.0,"43.6535269,-79.4650569"
Runnymede Station,265 Runnymede Road,3.0,"43.6535269,-79.4650569"
Exhibition GO Station,Manitoba Drive,1.0,"43.6314,-79.4304"
Bloor GO Station,1456 Bloor Street W,2.0,"43.6534268,-79.4512787"
Keele Subway Station,21 Keele Street,2.0,"43.6534268,-79.4512787"
St Patrick Subway Station,449 University Avenue,3.0,"43.655227,-79.39201"
Dundas Station,"Toronto, ON M5B 1J3",3.0,"43.655227,-79.39201"
Queen's Park Subway Station,129 College Street,3.0,"43.655227,-79.39201"
Pape Subway Station,743 Pape Avenue,3.0,"43.685167,-79.34962"
Broadview Subway Station,769 Broadview Avenue,3.0,"43.685167,-79.34962"
Chester Station,22 Chester Avenue,3.0,"43.685167,-79.34962"
Museum Subway Station,75 Queen's Park,5.0,"43.6704537,-79.39014"
Bloor-Yonge Subway Station,20 Bloor Street E,5.0,"43.6704537,-79.39014"
Wellesley Subway Station,16 Wellesley Street E,5.0,"43.6704537,-79.39014"
Bay Subway Station,1240 Bay Street,5.0,"43.6704537,-79.39014"
Dundas Station,"Toronto, ON M5B 1J3",5.0,"43.6704537,-79.39014"
Museum Subway Station,75 Queen's Park,5.0,"43.6691099,-79.38551"
Bloor-Yonge Subway Station,20 Bloor Street E,5.0,"43.6691099,-79.38551"
Wellesley Subway Station,16 Wellesley Street E,5.0,"43.6691099,-79.38551"
Dundas Station,"Toronto, ON M5B 1J3",5.0,"43.6691099,-79.38551"
Bay Subway Station,1240 Bay Street,5.0,"43.6691099,-79.38551"
St Patrick Subway Station,449 University Avenue,6.0,"43.6545174,-79.3895315"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.6545174,-79.3895315"
Queen Station,171 Yonge Street,6.0,"43.6545174,-79.3895315"
King Station,3 King Street E,6.0,"43.6545174,-79.3895315"
Queen's Park Subway Station,129 College Street,6.0,"43.6545174,-79.3895315"
Queen Subway Station,8 Queen Street W,6.0,"43.6545174,-79.3895315"
Spadina Subway Station,6 Spadina Road,3.0,"43.665846,-79.404998"
Museum Subway Station,75 Queen's Park,3.0,"43.665846,-79.404998"
Bathurst Subway Station,819 Bathurst Street,3.0,"43.665846,-79.404998"
Union Station,65 Front Street W,6.0,"43.6461,-79.3895"
VIA Rail Canada,65 Front Street  W,6.0,"43.6461,-79.3895"
St Patrick Subway Station,449 University Avenue,6.0,"43.6461,-79.3895"
Queen Station,171 Yonge Street,6.0,"43.6461,-79.3895"
King Station,3 King Street E,6.0,"43.6461,-79.3895"
Queen Subway Station,8 Queen Street W,6.0,"43.6461,-79.3895"
Union Station,65 Front Street W,2.0,"43.638497,-79.39192"
VIA Rail Canada,65 Front Street  W,2.0,"43.638497,-79.39192"
Broadview Subway Station,769 Broadview Avenue,1.0,"43.66852,-79.363525"
Queen's Park Subway Station,129 College Street,1.0,"43.652473,-79.401456"
Exhibition GO Station,Manitoba Drive,1.0,"43.643975,-79.419576"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.656094,-79.381484"
St Patrick Subway Station,449 University Avenue,6.0,"43.656094,-79.381484"
Queen Station,171 Yonge Street,6.0,"43.656094,-79.381484"
King Station,3 King Street E,6.0,"43.656094,-79.381484"
Queen's Park Subway Station,129 College Street,6.0,"43.656094,-79.381484"
Queen Subway Station,8 Queen Street W,6.0,"43.656094,-79.381484"
Museum Subway Station,75 Queen's Park,3.0,"43.670318,-79.405181"
Spadina Subway Station,6 Spadina Road,3.0,"43.670318,-79.405181"
Bathurst Subway Station,819 Bathurst Street,3.0,"43.670318,-79.405181"
St Clair West Subway Station,370 St Clair Ave W,1.0,"43.676667,-79.416111"
Exhibition GO Station,Manitoba Drive,1.0,"43.639444,-79.423611"
Ossington Subway Station,746 Ossington Avenue,2.0,"43.67,-79.42083333333333"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.67,-79.42083333333333"
Spadina Subway Station,6 Spadina Road,3.0,"43.671389,-79.416389"
Bathurst Subway Station,819 Bathurst Street,3.0,"43.671389,-79.416389"
Ossington Subway Station,746 Ossington Avenue,3.0,"43.671389,-79.416389"
St Clair West Subway Station,370 St Clair Ave W,1.0,"43.68,-79.42500000000001"
Exhibition GO Station,Manitoba Drive,1.0,"43.6394444,-79.42527777777778"
Spadina Subway Station,6 Spadina Road,2.0,"43.675791,-79.40698"
St Clair West Subway Station,370 St Clair Ave W,2.0,"43.675791,-79.40698"
Spadina Subway Station,6 Spadina Road,2.0,"43.675556,-79.410278"
St Clair West Subway Station,370 St Clair Ave W,2.0,"43.675556,-79.410278"
Spadina Subway Station,6 Spadina Road,2.0,"43.674444,-79.414722"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.674444,-79.414722"
Spadina Subway Station,6 Spadina Road,2.0,"43.671513,-79.408317"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.671513,-79.408317"
Broadview Subway Station,769 Broadview Avenue,2.0,"43.6783213,-79.35822"
Chester Station,22 Chester Avenue,2.0,"43.6783213,-79.35822"
Broadview Subway Station,769 Broadview Avenue,3.0,"43.6848652,-79.356602"
Pape Subway Station,743 Pape Avenue,3.0,"43.6848652,-79.356602"
Chester Station,22 Chester Avenue,3.0,"43.6848652,-79.356602"
Pape Subway Station,743 Pape Avenue,3.0,"43.68395,-79.347046"
Broadview Subway Station,769 Broadview Avenue,3.0,"43.68395,-79.347046"
Chester Station,22 Chester Avenue,3.0,"43.68395,-79.347046"
St Patrick Subway Station,449 University Avenue,1.0,"43.6494896,-79.393535"
Union Station,65 Front Street W,5.0,"43.6451635,-79.3831757"
VIA Rail Canada,65 Front Street  W,5.0,"43.6451635,-79.3831757"
Queen Station,171 Yonge Street,5.0,"43.6451635,-79.3831757"
King Station,3 King Street E,5.0,"43.6451635,-79.3831757"
Queen Subway Station,8 Queen Street W,5.0,"43.6451635,-79.3831757"
Union Station,65 Front Street W,5.0,"43.6452972,-79.3827914"
VIA Rail Canada,65 Front Street  W,5.0,"43.6452972,-79.3827914"
Queen Station,171 Yonge Street,5.0,"43.6452972,-79.3827914"
King Station,3 King Street E,5.0,"43.6452972,-79.3827914"
Queen Subway Station,8 Queen Street W,5.0,"43.6452972,-79.3827914"
Ossington Subway Station,746 Ossington Avenue,2.0,"43.6555556,-79.43361111111112"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.6555556,-79.43361111111112"
Bloor-Yonge Subway Station,20 Bloor Street E,3.0,"43.678077,-79.390328"
Bay Subway Station,1240 Bay Street,3.0,"43.678077,-79.390328"
Summerhill Subway Station,16 Shaftesbury Ave,3.0,"43.678077,-79.390328"
Dufferin Subway Station,1006 Dufferin Street,1.0,"43.667266,-79.443946"
Queen Station,171 Yonge Street,3.0,"43.648655,-79.367061"
King Station,3 King Street E,3.0,"43.648655,-79.367061"
Queen Subway Station,8 Queen Street W,3.0,"43.648655,-79.367061"
Union Station,65 Front Street W,6.0,"43.648711,-79.389728"
VIA Rail Canada,65 Front Street  W,6.0,"43.648711,-79.389728"
St Patrick Subway Station,449 University Avenue,6.0,"43.648711,-79.389728"
Queen Station,171 Yonge Street,6.0,"43.648711,-79.389728"
King Station,3 King Street E,6.0,"43.648711,-79.389728"
Queen Subway Station,8 Queen Street W,6.0,"43.648711,-79.389728"
St Patrick Subway Station,449 University Avenue,1.0,"43.649147,-79.395504"
Union Station,65 Front Street W,5.0,"43.643795,-79.375413"
VIA Rail Canada,65 Front Street  W,5.0,"43.643795,-79.375413"
King Station,3 King Street E,5.0,"43.643795,-79.375413"
Queen Station,171 Yonge Street,5.0,"43.643795,-79.375413"
Queen Subway Station,8 Queen Street W,5.0,"43.643795,-79.375413"
Museum Subway Station,75 Queen's Park,6.0,"43.662085,-79.397735"
Spadina Subway Station,6 Spadina Road,6.0,"43.662085,-79.397735"
Bloor-Yonge Subway Station,20 Bloor Street E,6.0,"43.662085,-79.397735"
St Patrick Subway Station,449 University Avenue,6.0,"43.662085,-79.397735"
Queen's Park Subway Station,129 College Street,6.0,"43.662085,-79.397735"
Bay Subway Station,1240 Bay Street,6.0,"43.662085,-79.397735"
Museum Subway Station,75 Queen's Park,7.0,"43.668456,-79.393899"
Bloor-Yonge Subway Station,20 Bloor Street E,7.0,"43.668456,-79.393899"
Spadina Subway Station,6 Spadina Road,7.0,"43.668456,-79.393899"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.668456,-79.393899"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.668456,-79.393899"
Bay Subway Station,1240 Bay Street,7.0,"43.668456,-79.393899"
Queen's Park Subway Station,129 College Street,7.0,"43.668456,-79.393899"
Exhibition GO Station,Manitoba Drive,1.0,"43.6448617,-79.42822"
Exhibition GO Station,Manitoba Drive,1.0,"43.6430555555556,-79.4275"
Ossington Subway Station,746 Ossington Avenue,3.0,"43.660414,-79.415646"
Spadina Subway Station,6 Spadina Road,3.0,"43.660414,-79.415646"
Bathurst Subway Station,819 Bathurst Street,3.0,"43.660414,-79.415646"
Spadina Subway Station,6 Spadina Road,2.0,"43.661975,-79.407896"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.661975,-79.407896"
Ossington Subway Station,746 Ossington Avenue,2.0,"43.65905,-79.422988"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.65905,-79.422988"
Spadina Subway Station,6 Spadina Road,2.0,"43.66,-79.4088888888889"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.66,-79.4088888888889"
Main Street Subway Station,315 Main Street,2.0,"43.686829,-79.311073"
Danforth GO,213 Main Street,2.0,"43.686829,-79.311073"
Main Street Subway Station,315 Main Street,2.0,"43.688325,-79.300463"
Danforth GO,213 Main Street,2.0,"43.688325,-79.300463"
High Park Subway Station,35 Quebec Avenue,3.0,"43.65716,-79.46478"
Keele Subway Station,21 Keele Street,3.0,"43.65716,-79.46478"
Runnymede Station,265 Runnymede Road,3.0,"43.65716,-79.46478"
High Park Subway Station,35 Quebec Avenue,3.0,"43.6525077,-79.4654233"
Keele Subway Station,21 Keele Street,3.0,"43.6525077,-79.4654233"
Runnymede Station,265 Runnymede Road,3.0,"43.6525077,-79.4654233"
Broadview Subway Station,769 Broadview Avenue,2.0,"43.6772,-79.35858"
Chester Station,22 Chester Avenue,2.0,"43.6772,-79.35858"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.662712,-79.379903"
Wellesley Subway Station,16 Wellesley Street E,6.0,"43.662712,-79.379903"
Bloor-Yonge Subway Station,20 Bloor Street E,6.0,"43.662712,-79.379903"
St Patrick Subway Station,449 University Avenue,6.0,"43.662712,-79.379903"
Bay Subway Station,1240 Bay Street,6.0,"43.662712,-79.379903"
Queen's Park Subway Station,129 College Street,6.0,"43.662712,-79.379903"
Museum Subway Station,75 Queen's Park,7.0,"43.658938,-79.383518"
Dundas Station,"Toronto, ON M5B 1J3",7.0,"43.658938,-79.383518"
Wellesley Subway Station,16 Wellesley Street E,7.0,"43.658938,-79.383518"
St Patrick Subway Station,449 University Avenue,7.0,"43.658938,-79.383518"
Queen Station,171 Yonge Street,7.0,"43.658938,-79.383518"
Queen's Park Subway Station,129 College Street,7.0,"43.658938,-79.383518"
Queen Subway Station,8 Queen Street W,7.0,"43.658938,-79.383518"
Greenwood Yard,400 Greenwood Avenue,1.0,"43.683378,-79.322961"
Union Station,65 Front Street W,3.0,"43.6425636,-79.3762"
VIA Rail Canada,65 Front Street  W,3.0,"43.6425636,-79.3762"
King Station,3 King Street E,3.0,"43.6425636,-79.3762"
Bloor GO Station,1456 Bloor Street W,2.0,"43.6521,-79.4486"
Keele Subway Station,21 Keele Street,2.0,"43.6521,-79.4486"
Museum Subway Station,75 Queen's Park,5.0,"43.669969,-79.386532"
Bloor-Yonge Subway Station,20 Bloor Street E,5.0,"43.669969,-79.386532"
Wellesley Subway Station,16 Wellesley Street E,5.0,"43.669969,-79.386532"
Dundas Station,"Toronto, ON M5B 1J3",5.0,"43.669969,-79.386532"
Bay Subway Station,1240 Bay Street,5.0,"43.669969,-79.386532"
Exhibition GO Station,Manitoba Drive,1.0,"43.633473,-79.425679"
Exhibition GO Station,Manitoba Drive,1.0,"43.630254,-79.420317"
Ossington Subway Station,746 Ossington Avenue,2.0,"43.662403,-79.423098"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.662403,-79.423098"
Ossington Subway Station,746 Ossington Avenue,2.0,"43.656945,-79.424911"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.656945,-79.424911"
St Clair West Subway Station,370 St Clair Ave W,1.0,"43.6817346,-79.4184725"
St Clair West Subway Station,370 St Clair Ave W,1.0,"43.683296,-79.418734"
Dufferin Subway Station,1006 Dufferin Street,1.0,"43.651145,-79.423742"
St Patrick Subway Station,449 University Avenue,2.0,"43.654905,-79.398448"
Queen's Park Subway Station,129 College Street,2.0,"43.654905,-79.398448"
Union Station,65 Front Street W,5.0,"43.651118,-79.369411"
VIA Rail Canada,65 Front Street  W,5.0,"43.651118,-79.369411"
Queen Station,171 Yonge Street,5.0,"43.651118,-79.369411"
King Station,3 King Street E,5.0,"43.651118,-79.369411"
Queen Subway Station,8 Queen Street W,5.0,"43.651118,-79.369411"
St Patrick Subway Station,449 University Avenue,1.0,"43.650033,-79.396555"
St Patrick Subway Station,449 University Avenue,3.0,"43.652823,-79.393388"
Dundas Station,"Toronto, ON M5B 1J3",3.0,"43.652823,-79.393388"
Queen's Park Subway Station,129 College Street,3.0,"43.652823,-79.393388"
Museum Subway Station,75 Queen's Park,6.0,"43.665527,-79.387499"
Bloor-Yonge Subway Station,20 Bloor Street E,6.0,"43.665527,-79.387499"
Wellesley Subway Station,16 Wellesley Street E,6.0,"43.665527,-79.387499"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.665527,-79.387499"
Bay Subway Station,1240 Bay Street,6.0,"43.665527,-79.387499"
Queen's Park Subway Station,129 College Street,6.0,"43.665527,-79.387499"
Dundas Station,"Toronto, ON M5B 1J3",6.0,"43.6582,-79.3768"
Wellesley Subway Station,16 Wellesley Street E,6.0,"43.6582,-79.3768"
Queen Station,171 Yonge Street,6.0,"43.6582,-79.3768"
St Patrick Subway Station,449 University Avenue,6.0,"43.6582,-79.3768"
King Station,3 King Street E,6.0,"43.6582,-79.3768"
Queen Subway Station,8 Queen Street W,6.0,"43.6582,-79.3768"
Broadview Subway Station,769 Broadview Avenue,3.0,"43.671172,-79.354704"
Pape Subway Station,743 Pape Avenue,3.0,"43.671172,-79.354704"
Chester Station,22 Chester Avenue,3.0,"43.671172,-79.354704"
Broadview Subway Station,769 Broadview Avenue,3.0,"43.677076,-79.35667"
Pape Subway Station,743 Pape Avenue,3.0,"43.677076,-79.35667"
Chester Station,22 Chester Avenue,3.0,"43.677076,-79.35667"
Pape Subway Station,743 Pape Avenue,2.0,"43.680223,-79.344062"
Chester Station,22 Chester Avenue,2.0,"43.680223,-79.344062"
Pape Subway Station,743 Pape Avenue,3.0,"43.678401,-79.346289"
Broadview Subway Station,769 Broadview Avenue,3.0,"43.678401,-79.346289"
Chester Station,22 Chester Avenue,3.0,"43.678401,-79.346289"
Greenwood Yard,400 Greenwood Avenue,1.0,"43.681991,-79.329455"
Exhibition GO Station,Manitoba Drive,1.0,"43.6422222,-79.41111111111111"
Spadina Subway Station,6 Spadina Road,2.0,"43.663808,-79.410491"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.663808,-79.410491"
Spadina Subway Station,6 Spadina Road,2.0,"43.6666667,-79.41166666666668"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.6666667,-79.41166666666668"
Ossington Subway Station,746 Ossington Avenue,2.0,"43.6638889,-79.41888888888889"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.6638889,-79.41888888888889"
Ossington Subway Station,746 Ossington Avenue,2.0,"43.661705,-79.425734"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.661705,-79.425734"
Ossington Subway Station,746 Ossington Avenue,2.0,"43.6686111,-79.42027777777778"
Bathurst Subway Station,819 Bathurst Street,2.0,"43.6686111,-79.42027777777778"
Ossington Subway Station,746 Ossington Avenue,2.0,"43.665327,-79.43235"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.665327,-79.43235"
Ossington Subway Station,746 Ossington Avenue,2.0,"43.657343,-79.43112"
Dufferin Subway Station,1006 Dufferin Street,2.0,"43.657343,-79.43112"
Ossington Subway Station,746 Ossington Avenue,1.0,"43.656296,-79.414663"
